category,name,description,url,logo,image
Endpoint Protection,Symantec Endpoint Protection,Symantec Endpoint Protection is a comprehensive endpoint security solution that combines antivirus, firewall, intrusion prevention, and advanced threat protection features.,https://www.broadcom.com/products/cyber-security/endpoint/symantec-endpoint-protection,[Symantec Endpoint Protection Logo],[Symantec Endpoint Protection Image]
Endpoint Protection,McAfee Endpoint Security,McAfee Endpoint Security provides advanced threat defense and endpoint protection for modern devices and environments.,https://www.mcafee.com/enterprise/en-us/products/endpoint-security.html,[McAfee Endpoint Security Logo],[McAfee Endpoint Security Image]
Endpoint Protection,CrowdStrike Falcon,CrowdStrike Falcon offers cloud-delivered endpoint protection powered by AI and machine learning to detect and prevent cyber threats.,https://www.crowdstrike.com/products/falcon-endpoint-protection/,[CrowdStrike Falcon Logo],[CrowdStrike Falcon Image]
Endpoint Protection,Trend Micro Apex One,Trend Micro Apex One provides advanced endpoint security with threat detection, response, and investigation capabilities.,https://www.trendmicro.com/en_us/business/products/user-protection/sps/endpoint-protection/advanced.html,[Trend Micro Apex One Logo],[Trend Micro Apex One Image]
Endpoint Protection,Carbon Black Endpoint Security,Carbon Black Endpoint Security offers next-generation antivirus and endpoint detection and response (EDR) capabilities to protect against advanced threats.,https://www.carbonblack.com/products/cb-defense/,[Carbon Black Endpoint Security Logo],[Carbon Black Endpoint Security Image]
Endpoint Protection,SentinelOne Endpoint Protection,SentinelOne Endpoint Protection delivers autonomous endpoint security through AI-driven technology to defend against all types of attacks.,https://www.sentinelone.com/platform/endpoint-security/,[SentinelOne Endpoint Protection Logo],[SentinelOne Endpoint Protection Image]
Endpoint Protection,Sophos Intercept X,Sophos Intercept X provides advanced endpoint protection with deep learning AI to stop zero-day attacks and ransomware.,https://www.sophos.com/en-us/products/intercept-x.aspx,[Sophos Intercept X Logo],[Sophos Intercept X Image]
Endpoint Protection,Kaspersky Endpoint Security,Kaspersky Endpoint Security offers multi-layered protection against cyber threats, including advanced ransomware protection and detection.,https://www.kaspersky.com/small-to-medium-business-security/endpoint-security-cloud,[Kaspersky Endpoint Security Logo],[Kaspersky Endpoint Security Image]
Endpoint Protection,Bitdefender GravityZone,Bitdefender GravityZone is a comprehensive endpoint security solution that combines advanced threat prevention and endpoint detection and response (EDR).,https://www.bitdefender.com/business/endpoint-security.html,[Bitdefender GravityZone Logo],[Bitdefender GravityZone Image]
Endpoint Protection,CylancePROTECT,CylancePROTECT is an AI-driven endpoint security solution that uses machine learning to prevent malware and advanced threats.,https://www.blackberry.com/us/en/cylance,[CylancePROTECT Logo],[CylancePROTECT Image]
Network Security,Cisco Firepower NGFW,Cisco Firepower Next-Generation Firewall (NGFW) provides advanced threat protection and integrated security features for network defense.,https://www.cisco.com/c/en/us/products/security/firewalls/index.html,[Cisco Firepower NGFW Logo],[Cisco Firepower NGFW Image]
Network Security,Palo Alto Networks Next-Generation Firewall,Palo Alto Networks Next-Generation Firewall (NGFW) offers advanced security capabilities to protect against cyber threats across networks and cloud environments.,https://www.paloaltonetworks.com/network-security/next-generation-firewall,[Palo Alto Networks Next-Generation Firewall Logo],[Palo Alto Networks Next-Generation Firewall Image]
Network Security,Fortinet FortiGate,Fortinet FortiGate is a next-generation firewall (NGFW) that provides high-performance network security with advanced threat protection features.,https://www.fortinet.com/products/next-generation-firewall,[Fortinet FortiGate Logo],[Fortinet FortiGate Image]
Network Security,Check Point Next-Generation Firewall,Check Point Next-Generation Firewall (NGFW) delivers advanced threat prevention and unified security management across networks.,https://www.checkpoint.com/products/next-generation-firewall/,[Check Point Next-Generation Firewall Logo],[Check Point Next-Generation Firewall Image]
Network Security,Juniper Networks SRX Series,Juniper Networks SRX Series Services Gateways provide advanced security and threat management for enterprise networks.,https://www.juniper.net/us/en/products-services/security/srx-series,[Juniper Networks SRX Series Logo],[Juniper Networks SRX Series Image]
Network Security,SonicWall TZ Series,SonicWall TZ Series firewalls offer integrated security solutions for small and medium-sized businesses to protect against cyber threats.,https://www.sonicwall.com/products/firewalls/entry-level-firewalls/,[SonicWall TZ Series Logo],[SonicWall TZ Series Image]
Network Security,WatchGuard Firebox,WatchGuard Firebox Series offers next-generation firewall solutions with advanced security features to protect networks from cyber threats.,https://www.watchguard.com/wgrd-products/firebox,[WatchGuard Firebox Logo],[WatchGuard Firebox Image]
Network Security,Barracuda CloudGen Firewall,Barracuda CloudGen Firewall provides advanced threat protection and secure connectivity for distributed networks and cloud environments.,https://www.barracuda.com/products/cloudgenfirewall,[Barracuda CloudGen Firewall Logo],[Barracuda CloudGen Firewall Image]
Network Security,Sophos XG Firewall,Sophos XG Firewall offers comprehensive network protection with advanced threat detection and response capabilities.,https://www.sophos.com/en-us/products/next-gen-firewall.aspx,[Sophos XG Firewall Logo],[Sophos XG Firewall Image]
Network Security,F5 BIG-IP,F5 BIG-IP is an application delivery controller (ADC) that provides advanced security, acceleration, and availability for applications and networks.,https://www.f5.com/products/big-ip,[F5 BIG-IP Logo],[F5 BIG-IP Image]
SIEM (Security Information and Event Management),Splunk Enterprise Security,Splunk Enterprise Security is a SIEM platform that provides real-time monitoring, threat detection, and incident response capabilities.,https://www.splunk.com/en_us/software/enterprise-security.html,[Splunk Enterprise Security Logo],[Splunk Enterprise Security Image]
SIEM (Security Information and Event Management),IBM QRadar,IBM QRadar is an enterprise SIEM solution that provides security intelligence, threat detection, and incident response capabilities.,https://www.ibm.com/security/qradar,[IBM QRadar Logo],[IBM QRadar Image]
SIEM (Security Information and Event Management),LogRhythm NextGen SIEM Platform,LogRhythm NextGen SIEM Platform offers advanced security analytics and threat detection capabilities to detect and respond to cyber threats.,https://logrhythm.com/products/nextgen-siem-platform/,[LogRhythm NextGen SIEM Platform Logo],[LogRhythm NextGen SIEM Platform Image]
SIEM (Security Information and Event Management),ArcSight Enterprise Security Manager (ESM),ArcSight Enterprise Security Manager (ESM) is a SIEM solution that provides real-time threat detection and security analytics for enterprise environments.,https://software.microfocus.com/en-us/software/arc-sight-enterprise-security-manager-esm,[ArcSight Enterprise Security Manager (ESM) Logo],[ArcSight Enterprise Security Manager (ESM) Image]
SIEM (Security Information and Event Management),Securonix Security Analytics Platform,Securonix Security Analytics Platform offers advanced security analytics and threat detection capabilities with machine learning and behavioral analytics.,https://www.securonix.com/products/securonix-security-analytics-platform/,[Securonix Security Analytics Platform Logo],[Securonix Security Analytics Platform Image]
SIEM (Security Information and Event Management),AlienVault USM (Unified Security Management),AlienVault USM (Unified Security Management) provides integrated threat detection, incident response, and compliance management in a single platform.,https://cybersecurity.att.com/products/usm,[AlienVault USM (Unified Security Management) Logo],[AlienVault USM (Unified Security Management) Image]
SIEM (Security Information and Event Management),SolarWinds Security Event Manager,SolarWinds Security Event Manager is a SIEM solution that provides real-time threat detection, log management, and compliance reporting.,https://www.solarwinds.com/security-event-manager,[SolarWinds Security Event Manager Logo],[SolarWinds Security Event Manager Image]
SIEM (Security Information and Event Management),Micro Focus Sentinel,Micro Focus Sentinel is a SIEM solution that offers real-time security monitoring, incident detection, and response capabilities.,https://www.microfocus.com/en-us/products/sentinel,[Micro Focus Sentinel Logo],[Micro Focus Sentinel Image]
SIEM (Security Information and Event Management),RSA NetWitness Platform,RSA NetWitness Platform provides advanced threat detection and response capabilities with real-time visibility and analytics for security operations.,https://www.rsa.com/en-us/products/threat-detection-response,[RSA NetWitness Platform Logo],[RSA NetWitness Platform Image]
SIEM (Security Information and Event Management),Trustwave SIEM,Trustwave SIEM provides threat intelligence, event correlation, and incident response capabilities to help organizations detect and respond to cyber threats.,https://www.trustwave.com/en-us/products/security-information-and-event-management/,[Trustwave SIEM Logo],[Trustwave SIEM Image]
Email Security,Proofpoint Email Protection,Proofpoint Email Protection provides advanced threat protection, email encryption, and email continuity to secure email communications.,https://www.proofpoint.com/us/products/email-protection,[Proofpoint Email Protection Logo],[Proofpoint Email Protection Image]
Email Security,Barracuda Email Security Gateway,Barracuda Email Security Gateway offers comprehensive email security with advanced threat protection, encryption, and data loss prevention (DLP) capabilities.,https://www.barracuda.com/products/email_protection,[Barracuda Email Security Gateway Logo],[Barracuda Email Security Gateway Image]
Email Security,Cisco Email Security,Cisco Email Security provides advanced threat protection, anti-spam, and data loss prevention (DLP) capabilities to secure email communications.,https://www.cisco.com/c/en/us/products/security/email-security/index.html,[Cisco Email Security Logo],[Cisco Email Security Image]
Email Security,Mimecast Secure Email Gateway,Mimecast Secure Email Gateway offers comprehensive email security with protection against malware, spam, and advanced threats.,https://www.mimecast.com/products/email-security/email-security-gateway/,[Mimecast Secure Email Gateway Logo],[Mimecast Secure Email Gateway Image]
Email Security,Symantec Email Security.cloud,Symantec Email Security.cloud provides cloud-based email security with advanced threat protection, encryption, and data loss prevention (DLP) capabilities.,https://www.broadcom.com/products/cyber-security/email-security,[Symantec Email Security.cloud Logo],[Symantec Email Security.cloud Image]
Email Security,Trend Micro Email Security,Trend Micro Email Security provides advanced threat protection, anti-spam, and data protection capabilities to secure email communications.,https://www.trendmicro.com/en_us/business/products/user-protection/email-security.html,[Trend Micro Email Security Logo],[Trend Micro Email Security Image]
Email Security,Sophos Email Security,Sophos Email Security provides advanced threat protection, anti-spam, and encryption capabilities to secure email communications.,https://www.sophos.com/en-us/products/secure-email-gateway.aspx,[Sophos Email Security Logo],[Sophos Email Security Image]
Email Security,FireEye Email Security,FireEye Email Security provides advanced threat protection and email analysis capabilities to detect and respond to email-based cyber threats.,https://www.fireeye.com/solutions/email-security.html,[FireEye Email Security Logo],[FireEye Email Security Image]
Email Security,Forcepoint Email Security,Forcepoint Email Security provides advanced threat protection, data loss prevention (DLP), and encryption capabilities to secure email communications.,https://www.forcepoint.com/products/email-security,[Forcepoint Email Security Logo],[Forcepoint Email Security Image]
Email Security,ESET Mail Security,ESET Mail Security provides antivirus, anti-phishing, and anti-spam protection for email communications to prevent cyber threats.,https://www.eset.com/us/business/mail-security/,[ESET Mail Security Logo],[ESET Mail Security Image]
Web Security,Cisco Umbrella,Cisco Umbrella is a cloud-based web security platform that provides DNS-layer security, threat intelligence, and content filtering to protect users from internet threats.,https://umbrella.cisco.com/,[Cisco Umbrella Logo],[Cisco Umbrella Image]
Web Security,Zscaler Internet Access,Zscaler Internet Access is a cloud-delivered security service that provides web security, URL filtering, and SSL inspection to secure internet access for users.,https://www.zscaler.com/products/internet-access,[Zscaler Internet Access Logo],[Zscaler Internet Access Image]
Web Security,Symantec Web Security Service,Symantec Web Security Service offers cloud-delivered web security with advanced threat protection, content filtering, and data loss prevention (DLP) capabilities.,https://www.broadcom.com/products/cyber-security/endpoint/symantec-endpoint-protection,[Symantec Web Security Service Logo],[Symantec Web Security Service Image]
Web Security,McAfee Web Gateway,McAfee Web Gateway provides web security with real-time threat detection, content filtering, and granular control over internet usage.,https://www.mcafee.com/enterprise/en-us/products/web-security-gateway.html,[McAfee Web Gateway Logo],[McAfee Web Gateway Image]
Web Security,Sophos Web Gateway,Sophos Web Gateway provides web security with advanced threat protection, URL filtering, and application control to secure internet access for users.,https://www.sophos.com/en-us/products/secure-web-gateway.aspx,[Sophos Web Gateway Logo],[Sophos Web Gateway Image]
Web Security,Forcepoint Web Security,Forcepoint Web Security provides advanced web security with threat protection, URL filtering, and data loss prevention (DLP) capabilities to protect users from internet threats.,https://www.forcepoint.com/products/web-security,[Forcepoint Web Security Logo],[Forcepoint Web Security Image]
Web Security,Barracuda Web Security Gateway,Barracuda Web Security Gateway offers web security with content filtering, malware protection, and application control to secure internet access for users.,https://www.barracuda.com/products/websecuritygateway,[Barracuda Web Security Gateway Logo],[Barracuda Web Security Gateway Image]
Web Security,Cato Networks Secure Web Gateway,Cato Networks Secure Web Gateway provides cloud-delivered web security with advanced threat protection, URL filtering, and SSL inspection to secure internet access for users.,https://www.catonetworks.com/products/secure-web-gateway,[Cato Networks Secure Web Gateway Logo],[Cato Networks Secure Web Gateway Image]
Web Security,Check Point Web Security,Check Point Web Security provides advanced threat protection, URL filtering, and application control to secure internet access for users.,https://www.checkpoint.com/products/web-security/,[Check Point Web Security Logo],[Check Point Web Security Image]
Web Security,Webroot Web Security Service,Webroot Web Security Service provides cloud-based web security with real-time threat detection, URL filtering, and content control to secure internet access for users.,https://www.webroot.com/us/en/business/products/web-security-service,[Webroot Web Security Service Logo],[Webroot Web Security Service Image]
Identity and Access Management (IAM),Okta Identity Cloud,Okta Identity Cloud is an identity and access management (IAM) platform that provides single sign-on (SSO), multi-factor authentication (MFA), and identity lifecycle management capabilities.,https://www.okta.com/,[Okta Identity Cloud Logo],[Okta Identity Cloud Image]
Identity and Access Management (IAM),Microsoft Azure Active Directory,Microsoft Azure Active Directory (Azure AD) is a cloud-based identity and access management (IAM) service that provides SSO, MFA, and identity governance capabilities for Microsoft cloud services and applications.,https://azure.microsoft.com/en-us/services/active-directory/,[Microsoft Azure Active Directory Logo],[Microsoft Azure Active Directory Image]
Identity and Access Management (IAM),OneLogin,OneLogin is an identity and access management (IAM) platform that provides SSO, MFA, and identity lifecycle management capabilities for cloud applications and APIs.,https://www.onelogin.com/,[OneLogin Logo],[OneLogin Image]
Identity and Access Management (IAM),Ping Identity,Ping Identity is an identity and access management (IAM) platform that provides SSO, MFA, and identity governance capabilities for hybrid IT environments.,https://www.pingidentity.com/,[Ping Identity Logo],[Ping Identity Image]
Identity and Access Management (IAM),IBM Security Identity Governance and Intelligence,IBM Security Identity Governance and Intelligence (IGI) is an IAM platform that provides identity governance, compliance, and analytics capabilities for managing user access to resources.,https://www.ibm.com/security/identity-governance,[IBM Security Identity Governance and Intelligence Logo],[IBM Security Identity Governance and Intelligence Image]
Identity and Access Management (IAM),RSA SecurID Access,RSA SecurID Access is an IAM platform that provides SSO, MFA, and adaptive authentication capabilities to secure access to applications and resources.,https://www.rsa.com/en-us/products/rsa-securid-suite/securid-access,[RSA SecurID Access Logo],[RSA SecurID Access Image]
Identity and Access Management (IAM),ForgeRock Identity Platform,ForgeRock Identity Platform is an IAM platform that provides identity and access management, identity federation, and identity gateway capabilities for modern applications and services.,https://www.forgerock.com/platform/identity-platform,[ForgeRock Identity Platform Logo],[ForgeRock Identity Platform Image]
Identity and Access Management (IAM),SailPoint IdentityNow,SailPoint IdentityNow is an identity and access management (IAM) platform that provides identity governance, compliance, and lifecycle management capabilities for cloud and on-premises environments.,https://www.sailpoint.com/products/identitynow/,[SailPoint IdentityNow Logo],[SailPoint IdentityNow Image]
Identity and Access Management (IAM),Centrify Identity-Centric PAM,Centrify Identity-Centric PAM is an identity and access management (IAM) platform that provides privileged access management (PAM) and identity governance capabilities to secure access to critical systems and data.,https://www.centrify.com/products/identity-service/,[Centrify Identity-Centric PAM Logo],[Centrify Identity-Centric PAM Image]
Identity and Access Management (IAM),Auth0 Identity Platform,Auth0 Identity Platform is an identity and access management (IAM) platform that provides authentication, authorization, and user management capabilities for applications and APIs.,https://auth0.com/,[Auth0 Identity Platform Logo],[Auth0 Identity Platform Image]
Vulnerability Management,Qualys Cloud Platform,Qualys Cloud Platform provides vulnerability management, continuous monitoring, and compliance management capabilities to identify and mitigate security risks across IT assets.,https://www.qualys.com/platform/,[Qualys Cloud Platform Logo],[Qualys Cloud Platform Image]
Vulnerability Management,Tenable.io Vulnerability Management,Tenable.io Vulnerability Management is a cloud-based vulnerability management platform that provides visibility and insight into vulnerabilities across IT assets.,https://www.tenable.com/products/tenable-io/vulnerability-management,[Tenable.io Vulnerability Management Logo],[Tenable.io Vulnerability Management Image]
Vulnerability Management,Rapid7 InsightVM,Rapid7 InsightVM is a vulnerability management solution that provides visibility, assessment, and remediation capabilities to identify and mitigate security risks.,https://www.rapid7.com/products/insightvm/,[Rapid7 InsightVM Logo],[Rapid7 InsightVM Image]
Vulnerability Management,Nessus Professional,Nessus Professional is a vulnerability scanner that provides comprehensive vulnerability assessment and scanning capabilities for IT environments.,https://www.tenable.com/products/nessus,[Nessus Professional Logo],[Nessus Professional Image]
Vulnerability Management,Acunetix Vulnerability Scanner,Acunetix Vulnerability Scanner is a web vulnerability scanner that provides automated scanning and identification of security vulnerabilities in web applications.,https://www.acunetix.com/vulnerability-scanner/,[Acunetix Vulnerability Scanner Logo],[Acunetix Vulnerability Scanner Image]
Vulnerability Management,F-Secure Radar,F-Secure Radar is a vulnerability management solution that provides vulnerability assessment, prioritization, and remediation capabilities to reduce security risks.,https://www.f-secure.com/en/business/products/radar,[F-Secure Radar Logo],[F-Secure Radar Image]
Vulnerability Management,Trustwave Vulnerability Management,Trustwave Vulnerability Management provides vulnerability scanning, assessment, and remediation capabilities to identify and mitigate security risks across IT assets.,https://www.trustwave.com/en-us/services/security-testing/vulnerability-management/,[Trustwave Vulnerability Management Logo],[Trustwave Vulnerability Management Image]
Vulnerability Management,OpenVAS,OpenVAS is an open-source vulnerability scanner that provides comprehensive vulnerability assessment capabilities for IT environments.,https://www.openvas.org/,[OpenVAS Logo],[OpenVAS Image]
Vulnerability Management,Skybox Security Suite,Skybox Security Suite provides vulnerability management, threat intelligence, and security policy management capabilities to reduce security risks and improve security posture.,https://www.skyboxsecurity.com/products/skybox-security-suite,[Skybox Security Suite Logo],[Skybox Security Suite Image]
Vulnerability Management,Flexera Vulnerability Management,Flexera Vulnerability Management provides vulnerability assessment, prioritization, and remediation capabilities to identify and mitigate security risks across IT assets.,https://www.flexera.com/products/software-vulnerability-management.html,[Flexera Vulnerability Management Logo],[Flexera Vulnerability Management Image]
Data Loss Prevention (DLP),Symantec Data Loss Prevention,Symantec Data Loss Prevention (DLP) provides data protection and compliance capabilities to prevent data breaches and secure sensitive information across endpoints, networks, and cloud applications.,https://www.broadcom.com/products/cyber-security/data-loss-prevention,[Symantec Data Loss Prevention Logo],[Symantec Data Loss Prevention Image]
Data Loss Prevention (DLP),McAfee Total Protection for DLP,McAfee Total Protection for DLP provides comprehensive data loss prevention (DLP) capabilities to protect sensitive data and prevent data breaches across endpoints, networks, and cloud applications.,https://www.mcafee.com/enterprise/en-us/products/data-protection/data-loss-prevention.html,[McAfee Total Protection for DLP Logo],[McAfee Total Protection for DLP Image]
Data Loss Prevention (DLP),Digital Guardian,Digital Guardian provides data loss prevention (DLP) and data protection capabilities to secure sensitive information and prevent data breaches across endpoints, networks, and cloud applications.,https://digitalguardian.com/products/data-loss-prevention,[Digital Guardian Logo],[Digital Guardian Image]
Data Loss Prevention (DLP),Forcepoint DLP,Forcepoint DLP provides data loss prevention (DLP) and data protection capabilities to prevent data breaches and secure sensitive information across endpoints, networks, and cloud applications.,https://www.forcepoint.com/products/data-loss-prevention,[Forcepoint DLP Logo],[Forcepoint DLP Image]
Data Loss Prevention (DLP),Trend Micro Integrated Data Loss Prevention,Trend Micro Integrated Data Loss Prevention (DLP) provides data protection and compliance capabilities to prevent data leaks and secure sensitive information across endpoints, networks, and cloud applications.,https://www.trendmicro.com/en_us/business/products/user-protection/sps/data-loss-prevention.html,[Trend Micro Integrated Data Loss Prevention Logo],[Trend Micro Integrated Data Loss Prevention Image]
Data Loss Prevention (DLP),Cisco Secure DLP,Cisco Secure DLP provides data loss prevention (DLP) capabilities to protect sensitive data and prevent data breaches across endpoints, networks, and cloud applications.,https://www.cisco.com/c/en/us/products/security/secure-dlp/index.html,[Cisco Secure DLP Logo],[Cisco Secure DLP Image]
Data Loss Prevention (DLP),GTB Technologies DLP,GTB Technologies DLP provides data loss prevention (DLP) and data protection capabilities to prevent data breaches and secure sensitive information across endpoints, networks, and cloud applications.,https://gttb.com/,[GTB Technologies DLP Logo],[GTB Technologies DLP Image]
Data Loss Prevention (DLP),Code42 Next-Gen DLP,Code42 Next-Gen DLP provides data loss prevention (DLP) capabilities to protect against insider threats and secure sensitive data across endpoints, networks, and cloud applications.,https://www.code42.com/products/next-gen-dlp,[Code42 Next-Gen DLP Logo],[Code42 Next-Gen DLP Image]
Data Loss Prevention (DLP),Trustwave Data Loss Prevention,Trustwave Data Loss Prevention (DLP) provides data protection and compliance capabilities to prevent data leaks and secure sensitive information across endpoints, networks, and cloud applications.,https://www.trustwave.com/en-us/services/security-testing/data-loss-prevention/,[Trustwave Data Loss Prevention Logo],[Trustwave Data Loss Prevention Image]
Data Loss Prevention (DLP),Netskope Cloud DLP,Netskope Cloud DLP provides data loss prevention (DLP) capabilities to protect sensitive data and prevent data breaches in cloud applications and services.,https://www.netskope.com/product/dlp,[Netskope Cloud DLP Logo],[Netskope Cloud DLP Image]
Encryption Tools,Symantec Endpoint Encryption,Symantec Endpoint Encryption provides full-disk encryption and data protection capabilities to secure sensitive information on endpoints and removable media.,https://www.broadcom.com/products/cyber-security/endpoint/symantec-endpoint-protection,[Symantec Endpoint Encryption Logo],[Symantec Endpoint Encryption Image]
Encryption Tools,McAfee Complete Data Protection,McAfee Complete Data Protection provides comprehensive data encryption and data loss prevention (DLP) capabilities to secure sensitive information across endpoints, networks, and cloud applications.,https://www.mcafee.com/enterprise/en-us/products/data-protection.html,[McAfee Complete Data Protection Logo],[McAfee Complete Data Protection Image]
Encryption Tools,Sophos SafeGuard Encryption,Sophos SafeGuard Encryption provides data encryption and data protection capabilities to secure sensitive information on endpoints, removable media, and in the cloud.,https://www.sophos.com/en-us/products/safeguard-encryption.aspx,[Sophos SafeGuard Encryption Logo],[Sophos SafeGuard Encryption Image]
Encryption Tools,BitLocker (Microsoft),BitLocker is a built-in encryption feature in Microsoft Windows that provides full-disk encryption to protect data on endpoints and removable media.,https://support.microsoft.com/en-us/help/4028713/windows-10-turn-on-device-encryption,[BitLocker (Microsoft) Logo],[BitLocker (Microsoft) Image]
Encryption Tools,VeraCrypt,VeraCrypt is an open-source disk encryption software that provides on-the-fly encryption to protect data on endpoints and removable media.,https://www.veracrypt.fr/en/Home.html,[VeraCrypt Logo],[VeraCrypt Image]
Encryption Tools,Trend Micro Endpoint Encryption,Trend Micro Endpoint Encryption provides data encryption and data protection capabilities to secure sensitive information on endpoints and removable media.,https://www.trendmicro.com/en_us/business/products/user-protection/encryption.html,[Trend Micro Endpoint Encryption Logo],[Trend Micro Endpoint Encryption Image]
Encryption Tools,ESET Endpoint Encryption,ESET Endpoint Encryption provides data encryption and data protection capabilities to secure sensitive information on endpoints and removable media.,https://www.eset.com/us/business/encryption/,[ESET Endpoint Encryption Logo],[ESET Endpoint Encryption Image]
Encryption Tools,Symantec VIP Access,Symantec VIP Access provides multi-factor authentication (MFA) and secure access capabilities to protect user identities and prevent unauthorized access.,https://www.broadcom.com/products/cyber-security/multi-factor-authentication,[Symantec VIP Access Logo],[Symantec VIP Access Image]
Encryption Tools,CipherCloud CASB,CipherCloud CASB provides cloud access security broker (CASB) capabilities to secure cloud applications and data with encryption, tokenization, and access controls.,https://www.forcepoint.com/products/cloud-access-security-broker,[CipherCloud CASB Logo],[CipherCloud CASB Image]
Encryption Tools,Box Shield Encryption,Box Shield Encryption provides data encryption and protection capabilities to secure sensitive information in the Box cloud content management platform.,https://www.box.com/shield,[Box Shield Encryption Logo],[Box Shield Encryption Image]
